itemcode,itemname
620998,캬라멜비스코티
621936,오므라이스
623103,닭매운탕
623615,등갈비바베큐
623625,딸기바나나크레이프
623805,설렁탕깍두기
624947,깻잎떡볶이
625080,녹차롤케이크
626024,해물볶음밥
627105,연유
627605,새우탕수
627980,칼국수
629401,상하이파스타
629687,양상추샌드위치
629775,돼지갈비찜
630167,김치볶음밥
630411,바나나머핀
630962,파운드
633076,전복죽
633190,계란장조림
633232,콩나물곤약비빔면
633250,짜장면
633960,파전병
633999,가토쇼콜라
634760,닭고기조림
635370,녹차팥파운드케이크
635865,훈제연어롤
636481,쑥전
636961,조개구이
636974,클램차우더스프
637809,칠리새우
637848,노오븐마늘빵
638218,등갈비구이
638550,초코칩쿠키
638562,장미꽃쿠키
639009,몬테크리스토
639587,감자전
640518,시금치크림스파게티
640641,블루베리타르트
640790,탕평채
640925,사블레린처쿠키
642298,달래콩나물밥
643575,피넛버터머핀
644069,메추리알꼬치
644575,봉골레스파게티
645815,스트로베리치즈케이크
646239,초코브라우니
647188,카프레제크로와상샌드위치
647191,오믈렛버거
647290,오징어부추부침개
647444,커피
647957,쑥국
649327,스프링롤
649643,호박볶음
651317,해물닭찜
651875,바베큐립
651929,마늘쫑닭안심조림
651959,스콘
651967,빵푸딩
652096,아몬드카스테라
652687,초코버터케이크
652830,돼지목살김치찌개
652878,베치번즈
654185,꽈리고추달걀장조림
654190,쫄면
654311,어니언스프
654683,닭날개구이
654930,김치삼겹살말이
654934,감자계란그라탕
654936,닭고기야채조림
654941,떡볶이
655561,볶음우동
655642,롤샌드위치
656038,유부초밥
656063,모카머핀
656361,파스타과자
657452,떡볶이그라탕
657725,골뱅이무침
657787,토마토마리네이드
658148,티라미스
659785,김치볶음밥그라탕
660257,뮈슬리크런치쿠키
660827,닭가슴살양파샌드위치
660876,상추겉절이
661576,새우달래전
661675,딸기생크림케이크
661678,초콜렛
662015,뼈다귀감자탕
663499,묵은지유부초밥
664333,모시조개순두부탕
665196,바나나쨈
665204,허브빵
665399,돼지고기보쌈
665517,미트볼야채조림
665526,또띠아피자
665647,고추잡채
666179,토마토스파게티
666624,수플레치즈케이크
666812,초코쉬폰
666820,오렌지갈레트
666861,오코노미야끼
667367,부추전
667943,떡갈비
668198,도넛
668204,쿠키
668311,오징어토마토덮밥
668321,양파감자스프
669312,굴소스짜장볶음밥
669640,버섯볶음
669950,참깨베이글
671138,뚝배기달걀찜
671226,크림치즈머핀
671308,마늘쫑볶음
671377,굴생채
671381,국밥
671399,크랜베리버터케이크
671430,파스타
671432,쥐포볶음
671452,오삼불고기
671584,카스테라
671684,피망잡채
672559,연포탕
672563,소고기콩나물두부국
672579,고구마파이
672581,참치야채죽
672814,양송이버섯장조림
673281,아이스크림
673457,두부야채죽
673467,굴전
673470,어묵볶음
673479,메추리알떡갈비구이
673492,홍합떡국
673499,과일식빵카나페
673508,두부야채계란말이
673511,김치볶음밥베이컨말이
673522,삼각김밥볶음밥
673526,베이컨감자말이
673528,메추리알감자보트
674030,KFC비스킷
674917,마늘조림
675044,찹쌀도넛
675196,포카치아
675335,도토리묵
675338,오이볶음
675474,치킨카레우동
676822,묵은지삼겹살두루치기
676858,떡잡채
676947,과일타르트
676978,황태오븐구이
677231,궁중떡볶이
677235,녹차아이스크림
677769,해물콩나물밥
678008,새송이버섯라이스그라탕
679419,코코넛마들렌
679471,벨기에와플
680329,달걀말이
680747,양파즙
681489,코코넛머핀
681494,치킨퀘사디아
681500,닭봉케찹조림
681503,닭가슴살볶음밥
681509,치킨도리아
681788,케이크
681921,짜장덮밥
682398,오이무침
682655,통밀브레드
682697,돼지고기안심장조림
682718,오이부추무침
682893,녹차팥롤케이크
683113,쑥떡떡볶이
683843,치킨시저샐러드
685161,비엔나마늘종볶음
685164,흑미식빵
685531,피자빵
685904,오므라이스
685906,버터링쿠키
686268,젤리
686285,홍차젤리
686294,포도젤리
686300,사시미곤약쫄면
686369,팽이버섯무침
686938,브레드
686945,시나몬비스코티
687223,치킨양파샌드위치
687820,피자호떡
687979,열무된장국
688113,푸실리
688115,소세지야채볶음
688118,햄두부덮밥
688962,브라우니치즈케이크
689101,무화과닭갈비
689351,탕수만두
689360,돈까스
689388,만두
689397,레어치즈케이크
689426,연근전
690100,두부지짐찌개
690101,마늘종볶음
690873,카레두부햄버거
690962,오이숙장아찌
691033,감자핫케익
691694,단호박치즈케이크
692044,생크림얼그레이스콘
692287,오징어볶음밥
692402,쌀모닝빵
693149,닭개장
693161,맛살햄계란말이
693666,달걀볶음밥
693694,동파육
694313,샌드
694398,크렌베리생크림식빵
695395,두부강정
695402,순두부찌개
695430,초콜릿무스
695699,버섯덮밥
695701,호두파이
695705,김치비빔국수
695708,콘샐러드
696028,피낭시에
696937,햄치즈샌드위치
697093,조림
697642,전자렌지찹쌀떡
697649,참외컵샐러드
697833,피클
698292,초코칩비스코티
698299,녹차케이크
698594,꿀카스테라
699135,바나나커피아이스크림
699447,초코너트쿠키
699450,마늘종볶음
700159,닭가슴살비빔국수
700439,마파가지
700473,고구마라떼
700493,갈비탕
700506,식빵치즈스틱
700515,팽이버섯전
700860,바지락부추부침개
700885,닭볶음탕
701016,참치스카치에그
701251,크림치즈연어야채머핀
701259,삼계탕
701308,열무김치
701751,에그타르트
701933,통밀비스코티
702096,애호박돼지고기찌개
702205,오이소박이
702217,소세지빵
702662,두부계란구이
702663,까망베르복숭아케이크
703107,플레인스콘
703167,감자베이컨햄말이
703172,메추리알치즈구이
703175,군만두계란말이
703187,햄깻잎계란말이
703220,코코넛새우튀김
703700,삼치데리야끼
704187,표고버섯해물스파게티
704277,호박볶음
705313,닭가슴살
705998,블루베리요거트아이스크림
706692,양파피클
706735,어묵무침
707290,초코쉬폰케익
707340,플레인요구르트
707549,감자스프
708176,소세지야채볶음
708392,머핀
708450,감자전
708454,닭다리양념구이
708464,무화과 오트밀 쿠키오트밀쿠키
708489,키위머핀
708656,해물볶음우동
709379,마론치즈케이크
709781,양파계란샌드위치
710048,애호박들깨볶음
710059,마늘쫑두반장볶음
710412,매실
710506,오징어김밥말이
710508,오색계란말이
710519,참치포테이토피자
710588,미니호두파이
710794,닭안심짜장덮밥
710810,어묵샌드크로켓
710825,소세지롤빵
711238,허니비스켓
711475,초코청크쿠키
711744,바베큐립
711748,초코머핀
711753,찰떡
711978,크랜베리사브레
711984,샐러드
711992,초코쿠키
712007,치킨데리야끼
712015,참치볼조림
712034,샌드위치
712048,새우주먹밥
712064,샌드위치
712513,볶음밥
712518,호밀식빵
712864,해물볶음우동
712868,새우덮밥
713091,고구마만주
713122,쥬스
713135,깻잎장아찌
713149,샐러드
713865,벨기에와플
713916,바나나통밀팬케이크
714140,스팸볶음밥그라탕
715143,감자크로켓
715148,초콜릿머핀
715174,레몬차
715294,식빵핫도그
715324,프리타타
715344,파프리카잡채
717254,블루베리치즈케이크
717339,또띠아
717347,블루베리머핀케이크
717435,굴소스볶음밥
718340,와플
719033,감자채카레볶음
719044,파인애플샤벳
719137,양념치킨
719171,쨈
719457,길거리토스트
719519,김치감자샐러드
719523,돼지갈비김치찜
719977,브로콜리파운드케익
719990,고추장멸치볶음
720575,가토쇼콜라
721249,케이크
721286,스팸감자채볶음
722221,블루베리소보루치즈타르트
722495,호두빵
723115,감자베이글
723212,커피빙수
723657,두부감자채탕수
723670,감자주먹밥구이
723924,감자전
724897,옥수수맛탕
724909,건포도모카머핀
724999,브로콜리계란샌드위치
725014,새우구이
725449,매쉬드포테이토
725628,연어구이
725727,크림참치베이글샌드위치
725796,닭가슴살겨자냉채
725890,코울슬로
726413,메밀국수
727914,바나나타르트
727988,파프리카참치전
727989,피자샌드
727994,블루베리머핀
728434,초코식빵
728438,파프리카전
728493,맛살계란말이
728746,아이스크림크레이프
728969,에스프레소브라우니
729373,어니언스테이크
729376,나초피자
729379,스팸두부전골
729388,치즈고로케
729397,애플푸딩
729403,미니스카치에그
729573,스팸야채튀김
729688,감자샐러드샌드위치
729726,감자샐러드튀김볼
730243,우렁이무침
730244,오징어백숙
730294,카레보트
730297,해물김치리조또
730298,롤샌드위치
730301,해물된장찌개
730303,스테이크
730309,스테이크
731160,카레실파전
731164,모카파운드
731170,닭가슴살스테이크
731188,함박돈까스
731199,약밥
731204,두부샐러드
731207,닭안심볶음
731216,애호박전
731223,떡갈비밥샌드
731225,핫도그
731228,구운가지샐러드
731248,허브떡케익
731256,파프리카스파게티
731429,새송이버섯구이
731787,훈제연어샐러드
731791,훈제연어초밥
732047,귤
732051,야채초무침
732470,닭가슴살군고구마샐러드
732730,오믈렛샌드위치
732732,고구마줄기고등어조림
732755,등갈비구이
732761,콩국수
732767,치즈계란토스트
732904,단호박컵피자
732912,바나나튀김
732917,바나나핫케이크
732944,야채어묵튀김
732952,꼬마참치주먹밥
732961,생선전
732966,묵은지참치볶음
732968,곤약초밥
732975,단무지깻잎쌈밥
732981,김밥
733845,바질페스토파스타
734614,그라탕
734622,아귀찜
734631,새우오믈렛
734639,미트볼튀김
734691,호두파이
734746,구겔호프
735329,참치피자
735637,맛밤롤빵
735899,가지고추장볶음
735901,옥수수치즈피자
735905,닭찜
735910,채소무침
735931,두부케첩조림
736499,마들렌샌드
737062,야채튀김
737292,초콜릿케이크
737308,김치부침개
737423,감자파프리카덮밥
737440,크림치즈파운드케익
737452,치아바타샌드위치
737701,딸기쨈브래드
737917,도라지무침
737926,코코넛머핀
737936,돼지고기가지볶음
737945,콩나물야채어묵무침
737948,파프리카볶음밥
737964,치킨오븐구이
737972,피넛버터바나나토스트
739315,감자버거
741734,크림스튜
741796,토마토소스
741805,치킨마요
741819,크래커
741825,베이글샌드위치
741889,박나물볶음
741905,삼색경단
741957,홍합초
742233,연어데리야끼
742246,파스타샐러드
742251,그린티요거트케이크
742296,야채치즈구이
742367,게살야채춘권
742482,치아바타
742667,탕수육
742903,옥수수수제비
743654,양파물
743832,감자국
744030,간장어묵볶음
744089,버터밀크와플
744260,가지볶음
744287,라이스그라탕
744298,오디파운드
744304,비엔나파프리카볶음
744711,고등어고추장강정
745041,아포카토
745081,연어또띠아롤
745086,감자고로케
745094,크랜베리초코칩스틱
745099,계란말이
745105,홍차스콘
745228,두부간장조림
745232,기름떡볶이
745247,묵은지닭매운탕
745908,녹차젤리
745982,검은콩국수
746887,찬밥동그랑땡
746888,상추쌈밥
746945,호두과자
746946,닭고기완자
747134,크림치즈아이스크림
747516,삼치강정
747538,북어국
747652,감자소세지오믈렛
747797,딸기쨈머핀
747884,감자전
747921,오디타르트
748033,채소샌드위치
748458,마늘빵
748753,고구마그라탕
748765,소세지캐비지롤
748769,군만두
748791,베리베리치즈타르트
748800,소세지야채볶음
748954,베이글바나나토스트
749065,야채피클
749966,쇼콜라케이크
750320,느타리버섯두부조림
750484,전복회
750485,전복죽
759454,돼지갈비찜
760898,연유바게트
760913,고등어조림
761144,과일피자
762749,어묵
763269,전복죽
763463,핫케이크
763499,단호박찹쌀도넛
764539,삼계탕
764872,허니레몬티
765370,그린토마토피클
765580,돼지고기김치말이
765584,파프리카햄전
765588,애호박양파볶음
765776,코코넛
765783,초코쉬폰케이크
765786,콩나물쫄면
765787,미트볼
765794,전복샐러드
766016,얼그레이샤베트
766100,크로크무슈
767015,껍질콩새우볶음
767035,스위트콘피자토스트
767041,프리타타
767199,호밀쿠키
768206,날치알밥
769248,와플
769254,홍차브라우니
769861,초코모카스콘
769867,문어꽈리고추조림
769870,깻잎찜
770388,나물
770757,브라우니
770783,부추잡채
770791,카레피자
770970,낙지볶음
770976,콩나물문어죽
770981,새우튀김
770983,양파튀김
770987,밤전복죽
771887,순대볶음
772101,뚝배기달걀찜
772107,감자멸치고추장찌개
772112,수박빙수
772510,닭가슴살파프리카샐러드
772551,핫도그번
773263,짜장밥
773402,미트볼
773601,아이스크림호두와플
773862,비빔만두
773866,탕
774664,단호박스콘
774760,햄버거
775457,사과치즈타르트
775459,고구마카레
775725,버섯두부구이
775819,참치카레스파게티
775985,도라야끼
776221,해물짬뽕
776234,와플
777327,달걀볶음밥
777335,코울슬로
777340,닭갈비
777724,장어탕
777727,장어구이
778117,당근케이크
778121,식빵러스크
778128,찹쌀호떡
778356,골뱅이비빔국수
778392,연어초밥
778503,피자만두
778643,레몬에이드
778647,허브참치구이
778891,해물순두부
778989,크림치즈타르트
779350,해물된장리조또
779792,골뱅이무침쫄면
779797,군만두
779801,해물동그랑땡
779805,옥수수버터구이
780554,코코넛쿠키
781267,더덕고추장구이
781274,병어매운탕
781278,깻잎순나물
781670,닭케첩볶음
781683,애호박느타리버섯전
781722,간짜장
781877,머핀케이크
781901,호두쿠키
781904,마파두부덮밥
782108,더덕고추장무침
782126,오이피클
782207,박나물소고기볶음
782262,안동찜닭
782270,짜장떡볶이
782494,냉라면
782788,피넛버터파운드케이크
782936,올리브스콘
783594,스노우모카볼
784048,벨기에와플
784055,오디머핀
784369,어묵파프리카볶음
784420,홍합미역국
784480,새우마사고구이
784793,후르츠파운드
784801,브라우니
784816,우동파프리카볶음
784818,닭가슴살샐러드
784863,브로콜리스프
784888,양파장아찌
785123,미트볼
786019,해물순두부찌개
786265,바나나잼
786272,닭강정
786273,맛살냉채
786489,단호박스콘
786892,미트볼토마토스파게티
786899,더덕고추장구이
787162,오징어먹물쿠키
787287,스파게티
787524,요거트무스
787967,갈릭스파게티
788009,전복새송이버섯볶음
788744,견과류고구마밤맛탕
788843,크림치즈스콘
789053,허브빵
789699,깐풍더덕
790095,돼지고기주물럭
792295,단호박샐러드그라탕
792465,건포도통밀빵
792475,팝콘치킨
793010,새우알탕
793400,새우탕
793417,동그랑땡
793420,삼색약식
793513,전어회무침
793671,두유마요네즈
793819,파인애플카레볶음밥
793932,돼지갈비
794747,새우완자찜
794749,바나나샌드위치
805937,크림치즈트위스트빵
806774,오징어다시마조림
806786,콩자반
806934,치즈머핀
808019,사과파운드케이크
808022,두부라자냐
808026,약과
808227,월병
810381,잡채
811813,두부호밀쿠키
812115,새우샐러드
812613,통밀와플
813517,전어구이
813817,복숭아병조림
813822,야채덮밥
814333,크림치즈스프링롤
815173,녹차티라미수
815175,미트로프
815177,녹차카스테라
815220,피넛버터머핀
815932,와플
815954,배샐러드
815969,배냉채
816262,월병
816581,잣죽
816582,부침개
816584,두부탕
816844,커스터드크림
818349,요구르트스콘
818639,벨기에와플
818892,청양고추볶음밥
818895,알밥
818897,식빵튀김
818899,밤샐러드
819019,치즈떡볶이
819049,모카초코칩쿠키
819509,고구마몽블랑케이크
819996,단호박 밤머핀
820007,배샤베트
820127,오징어고추전
820197,봉골레스파게티
820944,미숫가루초코칩쿠키
820985,토마토피자토스트
821003,두부생채
821115,복숭아푸딩
821162,바베큐립
821169,갓김치전
821175,비엔나케첩볶음
821183,두부해물찜
821206,닭볶음탕
821285,롤케이크
821718,티라미수
821731,커피젤리
822267,고구마찜케이크
822906,새우샌드위치
822907,소라초무침
822910,다시마야채쌈
823236,오이피클
825365,고등어양념구이
825377,야채치즈계란찜
825715,커스터드크림
825729,꽃게무침
825731,참치감자애호박찌개
825734,포도화채
825915,토마토마리네이드
826752,단호박치즈케이크
828400,누텔라케이크
828441,참치야채죽
828446,고추장돼지불고기
828449,떡갈비찜
828450,고구마스틱
828459,오징어무국
828472,고구마조림
828486,사과케이크
828629,녹차초코칩샤브레
828662,무생채
828663,배추쌈
828665,반건조오징어무침
828666,마늘새우튀김
828668,문어초무침
828669,새우구이
829049,오이배김치
829056,고구마머핀
829065,고구마빠스
829070,고구마칩
829141,불고기
829786,밤파운드
829790,낙지볶음덮밥
829793,카레라이스
829797,어묵야채볶음
829803,두부샐러드
829806,흑미식빵
829813,호두구겔호프
829817,땅콩쿠키
829861,고구마샌드위치
829867,고구마야채볶음
829878,사과빠스
829908,밤맛탕
830029,반건조오징어김치부침개
830298,만주
830510,날치알주먹밥
830517,닭봉콜라조림
830522,감자크로켓
830985,복숭아스무디
831099,고구마컵케이크
831254,리코타치즈샐러드
833132,밀크티스콘
833156,옥수수유부초밥
833967,해물피자
834154,감자칩
834739,배스무디
834740,밥새우볶음
834910,돼지고기굴소스볶음
835053,샌드위치
835107,날치알오이롤초밥
835979,토마토주스
836254,돼지고기고추장찌개
836267,고구마버터구이
836284,연근정과
836904,까르보나라
837061,찐빵
837065,고구마샌드위치
837445,커피마들렌
837453,커피피칸스낵
838333,고구마크로켓
838775,스테이크
838778,콩나물해물찜
838793,포도쨈
839350,우엉채조림
839918,치즈감자샐러드샌드위치
840423,감자마카로니샐러드
840432,꽈리고추멸치볶음
840464,양장피
840775,닭갈비
840779,오징어롤야채조림
840781,새우동그랑땡
840783,바베큐치킨
840786,소라무침쫄면
841018,토마토치즈토스트
841240,브로콜리볶음
841542,갈치찌개
841548,단호박지짐
841962,고추장불고기
842392,오이장아찌무침
842561,순두부찌개
842900,치킨너겟
842910,크림소스오므라이스
843096,멸치무침
843116,감자볶음
843124,고구마라이스그라탕
843144,야채두부
843512,초콜릿마블치즈케이크
843969,고구마푸딩
843977,사과쨈
844052,생선커틀릿
844137,고구마맛탕
844637,김치볶음유부밥
844642,샐러드롤
844662,달래콩나물밥
844839,키조개볶음밥
845056,깨찰빵
845061,허브쿠키
845067,나쵸치즈구이
845391,수삼꿀절임
846811,양파피클
846860,비빔국수
846865,짜사이무침
846866,녹두빈대떡
846868,고구마오븐스파게티
847514,단호박케이크
847598,잔멸치볶음
847610,된장찌개
847619,잡채
847623,카레간장조랭이떡볶이
847738,타르트
848541,휘낭시에
848719,아몬드튀일
848838,호박케이크
848839,체다치즈스콘
849858,당근쉬폰
849864,올리브식빵
849870,카라멜마블파운드케이크
849874,카라멜초코스콘
850915,단호박호두파운드케이크
851205,시나몬롤
851604,고구마죽
851610,소세지양파샌드위치
851614,카레밥전
851621,짜춘권
852267,고구마치즈머핀
853202,올리브포카치아
853209,초코수플레
853430,팥와플
853436,밤만주
853438,울면
854186,냉스파게티
854263,브로콜리새우볶음밥
854267,토마토브루스케타
854271,참치
854423,오코노미야키
854603,녹차크랜베리머핀
854803,치킨텐더
855740,고구마샌드위치
855742,양송이버섯덮밥
855749,고구마간장조림
856041,쭈꾸미삼겹살
856044,동태찌개
856049,고구마복숭아잼호떡
895165,숙주볶음
895178,팥칼국수
895197,마카로니샐러드
895284,야채참치
895374,데리야끼소스
895694,에스프레소초코머핀
895698,케이크
896566,소세지덮밥
897214,고구마맛탕
897577,소고기고추장볶음
897590,호두멸치고추장볶음
897603,요구르트샤베트
897630,허브양파빵
897652,쿠키
898303,닭다리튀김
899561,밤조림
899819,과일누룽지탕수육
899827,감자당근브로콜리죽
900594,사과장아찌
900656,더덕구이
900731,LA찹쌀마들렌
900745,식빵
900749,LA찹쌀마들렌
901038,묵은지고등어조림
901443,계란죽
901487,볶음밥
901538,어묵짬뽕국밥
901694,팟타이
901777,홍시샤벳
901782,간장떡볶이
902707,곤드레밥
903305,메로
903543,단호박컵케이크
903588,고구마카레라이스
903592,고구마돼지갈비찜
903594,스위트포테이토
903601,바베큐립
903603,미니돈까스꼬치
903607,프리타타
903612,초코머핀
904571,아몬드비스코티
905793,해물콩나물밥
905807,어묵두반장볶음
905816,새송이버섯된장구이
905827,고구마브로콜리전
905888,허니버터토스트
905905,두부버섯샐러드
